Website Link,Extracted Emails
https://holytrinityandlittlemarlowfederation.org.uk/,"office@holytrinity.bucks.sch.uk, office@littlemarlow.bucks.sch.uk"
https://kosovo.finnish.school/,"kosovo@finnish.school, kosovo@finnish.school"
http://finnish.school/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , f, i, n, n, i, s, h, ., s, c, h, o, o, l, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://www.psleonardo.com/,ps_leonardo@mail.bg
https://www.fossebrook.org.uk/,admin@fossebrook.org.ukTranslate
http://www.fostersprimaryschool.co.uk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., f, o, s, t, e, r, s, p, r, i, m, a, r, y, s, c, h, o, o, l, ., c, o, ., u, k, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, a, m, e,  , o, r,  , s, e, r, v, i, c, e,  , n, o, t,  , k, n, o, w, n, ]"
http://www.fiv.is/,"skrifstofa@fiv.is, skrifstofa@fiv.is, skrifstofa@fiv.is"
https://www.oldvicarageschool.com/about-us/friends-of-ovs,friendsofoldvicarageschool@gmail.com
https://www.fulbridgeacademy.co.uk/,office@fulbridgeacademy.co.uk
http://fulbrook.school/,office@fulbrook.school
http://www.escolagem.cat/,info@escolagem.cat
https://ges.gov.gh/,"info@ges.gov.gh, info@ges.gov.gh"
http://www.gimpa.edu.gh/,info@gimpa.edu.gh
https://www.gloucestershire.gov.uk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., g, l, o, u, c, e, s, t, e, r, s, h, i, r, e, ., g, o, v, ., u, k, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://hetlaerhof.be/,"lisannebresseleers@clb-antwerpen.be, siendietvorst@clb-antwerpen.be, directie@hetlaerhof.be"
http://www.goreyetss.ie/,"admin@goreyetss.ie, admin@goreyetss.ie"
http://www.gcs.ac.uk/,training@gcs.ac.uk
https://www.grangeparkprimaryelt.org/,office@grangeparkprimary.org
http://grindavik.is/,"grindavik@grindavik.is, heimasidan@grindavik.is, personuvernd@grindavik.is"
https://grunnborg.is/,grunnborg@grunnborg.is
https://grupocto.es/,"info@grupocto.com, secretaria@grupocto.com, sede.barcelona@grupocto.com"
https://hkhk.edu.ee/en,1740kool@hkhk.edu.ee
https://www.habshatcham.org.uk/,hatchamcollege@habstrustsouth.org.uk
https://hadstenskole.aula.dk/,hadstenskole@favrskov.dk
http://hrce.ca/,connect@hrce.ca
http://www.harlingtonschool.org/,enquiries@harlingtonschool.org
http://www.hattonspecialschool.co.uk/,admin@hattonspecialschool.co.uk
https://www.headington.org/,"enquiries@headington.org, admissions@headington.org"
http://www.silta.edu.hel.fi/,"4, 0, 4, ,,  , m, e, s, s, a, g, e, =, ', N, o, t,  , F, o, u, n, d, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, w, w, ., h, e, l, ., f, i, /, p, e, r, u, s, k, o, u, l, u, t, /, f, i, /, k, o, u, l, u, t, /, s, i, l, t, a, m, a, e, n, -, a, l, a, -, a, s, t, e, /, s, i, l, t, a, m, a, e, n, -, a, l, a, -, a, s, t, e, ', )"
http://hereward.ac.uk/,enquiries@hereward.ac.uk
https://www.highviewprimary.org.uk/,"office@highview.school, office@highview.school"
https://hec.gov.pk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , h, e, c, ., g, o, v, ., p, k, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://hillcrest.braeburn.com/,admin@hillcrest.ac.ke
https://www.gov.uk/government/organisations/hm-prison-and-probation-service,"HMPPSPublicEnquiries@justice.gov.uk, data.access@justice.gov.uk"
https://www.gov.uk/guidance/manchester-prison,"VisitsbookingManchester@justice.gov.uk, VisitsbookingManchester@justice.gov.uk"
https://lidingo.se/toppmeny/barnutbildning/grundskola/varakommunalagrundskolor/hogsatraskola.4.11f7a65612084cba4e980007178.html,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , l, i, d, i, n, g, o, ., s, e, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://honoris.net/,contact@honoris.net
https://www.hoo-st-werburgh.medway.sch.uk/marlborough-centre,office@themarlborough.org.uk
http://www.hsdc.ac.uk/,customerservices@hsdc.ac.uk
https://icmanicone.edu.it/,"fgic84100a@pec.istruzione.it, fgic84100a@istruzione.it, fgic84100a@pec.istruzione.it"
https://www.iocarpino.edu.it/,"FGIC806003@istruzione.it, FGIC806003@pec.istruzione.itCod"
https://www.icsacco.edu.it/,"CNIC86600D@istruzione.it, CNIC86600D@pec.istruzione.itCod"
http://icknield.beds.sch.uk/,info@icknield.beds.sch.uk
http://www.iedutainments.com/,info@iedutainments.com
http://iexel.org.uk/,office@iexel.org.uk
https://www.belluzzifioravanti.it/,"bois02300g@istruzione.it, bois02300g@pec.istruzione.it"
http://www.bossomonti.it/,"segreteria@bossomonti.it, tois053004@istruzione.it, tois053004@pec.istruzione.it"
http://www.ichs.org.uk/,enquiries@ichs.org.uk
https://www.eng.imagine.org.il/,"shirley@imagine.org.il, shirley@imagine.org.il"
http://www.ingfieldmanorschool.co.uk/,782294Ingfield.manor@ambitoeducation.co.uk
https://www.delceacademy.co.uk/,office@inspiredelce.co.uk
http://www.iejas.edu.co/,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, w, w, ., i, e, j, a, s, ., e, d, u, ., c, o, /, ', )"
http://instructionpublique.be/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , i, n, s, t, r, u, c, t, i, o, n, p, u, b, l, i, q, u, e, ., b, e, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, a, m, e,  , o, r,  , s, e, r, v, i, c, e,  , n, o, t,  , k, n, o, w, n, ]"
https://www.linkedin.com/in/kanat-ayaguzov-bb939a7?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,"9, 9, 9, ,,  , m, e, s, s, a, g, e, =, ', R, e, q, u, e, s, t,  , d, e, n, i, e, d, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, w, w, ., l, i, n, k, e, d, i, n, ., c, o, m, /, i, n, /, k, a, n, a, t, -, a, y, a, g, u, z, o, v, -, b, b, 9, 3, 9, a, 7, ?, u, t, m, _, s, o, u, r, c, e, =, s, h, a, r, e, &, u, t, m, _, c, a, m, p, a, i, g, n, =, s, h, a, r, e, _, v, i, a, &, u, t, m, _, c, o, n, t, e, n, t, =, p, r, o, f, i, l, e, &, u, t, m, _, m, e, d, i, u, m, =, i, o, s, _, a, p, p, ', )"
http://www.isl.edu.la/,"info@isl.edu.la, info@isl.edu.la, pakse@isl.edu.la"
http://www.ipass.org.uk/,ipass@hullcc.gov.uk
https://fezaschools.org/,"info@fezaschools.org, info@fezaschools.org"
https://edu.gov.il/heb/Pages/hp.aspx,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , e, d, u, ., g, o, v, ., i, l, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
http://www.ilk.k12.tr//,kurumsal@ilk.k12.tr
https://www.icbiagio.it/,"RAIC82000R@ISTRUZIONE.IT, RAIC82000R@ISTRUZIONE.IT, RAIC82000R@istruzione.itPEC, RAIC82000R@pec.istruzione.itCod"
https://www.istitutofermi.it/,"LUIS016002@istruzione.it, LUIS016002@pec.istruzione.itCod"
https://www.martinomartini.eu/,"segr.martini.mezzolombardo@scuole.provincia.tn.it, martini@pec.provincia.tn.it"
http://www.itegallo.it/,"CETD010003@istruzione.it, CETD010003@pec.istruzione.it, cetd010003@pec.istruzione.it, cetd010003@istruzione.it"
https://www.leggott.ac.uk/,info@leggott.ac.uk
https://www.kalorex.org/,"admin@kalorex.org, admin@kalorex.org"
http://www.katiesandovalart.com/,"Touchinfo@katiesandovalart.comKATIE, info@katiesandovalart.comAdrian, info@katiesandovalart.com"
http://www.kentcollege.com/,"prepenquiries@kentcollege.co.uk, enquiries@kentcollege.co.uk"
https://www.keystoneacademy.cn/en,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., k, e, y, s, t, o, n, e, a, c, a, d, e, m, y, ., c, n, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
http://www.khaitanpublicschool.com/,support@khaitanpublicschool.com
https://www.kegs.org.uk/,"office@kegs.org.ukA, office@kegs.org.uk"
"
https://www.ksgs.cumbria.sch.uk/",admin@ksgs.cumbria.sch.uk
"https://reykjavik.is/klettaskoli
","klettaskoli@rvkskolar.is, upplysingar@reykjavik.is, upplysingar@reykjavik.is"
http://www.knowingidiomas.com.br/,atendimento@knowingidiomas.com
https://www.koinoniafederation.com/,"sao@koinoniafederation.com, woolwichadmin@koinoniafederation.com"
https://www.lacehillacademy.co.uk/,"sjones@lacehillacademy.co.uk, office@lacehillacademy.co.uk"
https://www.lwsd.org/,"civilrights@lwsd.org, titleix@lwsd.org, section504@lwsd.org"
https://lambertseter.osloskolen.no/,"postmottak.Lambertseter@osloskolen.no, postmottak.Lambertseter@osloskolen.no, postmottak.Lambertseter@osloskolen.no, postmottak.Lambertseter@osloskolen.no"
https://langleyparkprimaryacademy.org.uk/,"contactus@langleyparkprimaryacademy.org.uk, webdesk@latrust.org.uk"
http://www.sventezeriomokykla.lt/,"info@sventezeriomokykla.lt, info@sventezeriomokykla.lt"
http://www.lrnglobal.org/,"enquiries@lrnglobal.org, enquiries@lrnglobal.org"
https://www.learnovatecentre.org/,info@learnovatecentre.org
http://www.leighacademiestrust.org.uk/,info@latrust.org.uk
https://www.liceocalini.edu.it/,"bsps01000d@istruzione.itLink, bsps01000d@pec.istruzione.itLink"
http://www.lincolnsaints.com/,"sfr.enquiries@lincolnsaints.com, stc.enquiries@lincolnsaints.com, stc.enquiries@lincolnsaints.com, outreach@lincolnsaints.com, pheasantry@lincolnsaints.com, portage@lincolnsaints.com"
https://www.lindenlodge.org.uk/,info@lindenlodge.wandsworth.sch.uk
https://www.londonlc.org.uk/,"info@londonlc.org.uk, info@londonlc.org.uk, info@londonlc.org.uk, info@londonlc.org.uk"
https://novoshkola.com.ua/,"INFO@NOVOSHKOLA.COM.UA, info@novoshkola.com.ua, info@novoshkola.com.ua"
https://www.londonchristianschool.com/,mail@londonchristianschool.comOur
https://sgddt.longan.gov.vn/Pages/Default.aspx,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , s, g, d, d, t, ., l, o, n, g, a, n, ., g, o, v, ., v, n, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://www.longroad.ac.uk/,631100enquiries@longroad.ac.uk
https://www.longacre.surrey.sch.uk/,office@longacreschool.co.uk
http://fllmorocco.org/,sponsorsSuivez-nousContactez-nousinfo@fllmorocco.org
https://luminate.ac.uk/,"contact@luminate.ac.uk, contact@luminate.ac.uk"
https://www.lutonsfc.ac.uk/,"Uscollemail@lutonsfc.ac.uk, admissions@lutonsfc.ac.uk"
https://lyceumdegrundel.nl/,"lyceumdegrundel@carmelhengelo.nl, lyceumdegrundel@carmelhengelo.nl"
https://www.lyminster.w-sussex.sch.uk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., l, y, m, i, n, s, t, e, r, ., w, -, s, u, s, s, e, x, ., s, c, h, ., u, k, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://manetaki.gr/,"manetaki@manetaki.gr, manetaki@manetaki.gr"
http://www.mskytlicka.cz/,"info@mskytlicka.cz, reditelka@mskytlicka.cz"
https://www.mayfieldschool.net/,admin@mayfieldschool.net
https://www.mayfieldschool.net/,admin@mayfieldschool.net
http://www.athertonmeadowbankblogs.net/,"5, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', S, e, r, v, i, c, e,  , U, n, a, v, a, i, l, a, b, l, e, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, :, /, /, w, w, w, ., a, t, h, e, r, t, o, n, m, e, a, d, o, w, b, a, n, k, b, l, o, g, s, ., n, e, t, /, ', )"
http://mediapoolen.se/,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, :, /, /, m, e, d, i, a, p, o, o, l, e, n, ., s, e, /, ', )"
http://www.minas.gov.cd/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., m, i, n, a, s, ., g, o, v, ., c, d, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, o,  , a, d, d, r, e, s, s,  , a, s, s, o, c, i, a, t, e, d,  , w, i, t, h,  , h, o, s, t, n, a, m, e, ]"
https://www.gov.uk/government/organisations/ministry-of-defence,"dbs-medals@mod.gov.uk, swk-lowflying@mod.gov.uk, parlibranch-treat-official@mod.gov.uk, dbsscs-ecfinanceteam@mod.gov.uk, veterans-uk@mod.gov.uk, dbs-jcccgroupmailbox@mod.gov.uk, cio-foi@mod.gov.uk"
http://www.edu.gov.qa/,info@edu.gov.qa
https://www.moe.gov.my/en/institute-of-teacher-education,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, w, w, ., m, o, e, ., g, o, v, ., m, y, /, e, n, /, i, n, s, t, i, t, u, t, e, -, o, f, -, t, e, a, c, h, e, r, -, e, d, u, c, a, t, i, o, n, ', )"
https://minepst.gouv.cd/,"ige_servicediplomesrdc@eduquepsp.education, contact@minepst.gouv.cd, contact@minepst.gouv.cd, sgc@eduquepsp.education, contact@minepst.gouv.cd, sgc@eduquepsp.education"
http://www.montalabbe.sch.je/,"617526admin@montalabbe.sch.je, 875801admin@montalabbe.sch"
http://www.men.gov.uk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., m, e, n, ., g, o, v, ., u, k, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, o,  , a, d, d, r, e, s, s,  , a, s, s, o, c, i, a, t, e, d,  , w, i, t, h,  , h, o, s, t, n, a, m, e, ]"
http://morphoses.io/,contact@morphoses.io
http://mujc.org/,HIB@doe.nj.gov
http://www.mowmacrehill.org.uk/,office@dsatmowmacrehill.orgHeadteacher
http://www.comune.torino.it/,"', u, t, f, -, 8, ',  , c, o, d, e, c,  , c, a, n, ', t,  , d, e, c, o, d, e,  , b, y, t, e,  , 0, x, e, 0,  , i, n,  , p, o, s, i, t, i, o, n,  , 3, 1, 2, :,  , i, n, v, a, l, i, d,  , c, o, n, t, i, n, u, a, t, i, o, n,  , b, y, t, e"
https://www.nacro.org.uk/,website@nacro.org.uk
http://www.slncc.lk/,Emailinfo@slncc.lkHomeAbout
https://literacytrust.org.uk/,contact@literacytrust.org.uk
